,instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
17469,51893.0,!!!,Even When The Water's Cold,52.0,0.108,0.7090000000000001,227067.0,0.831,0.00128,D,0.159,-6.847,Minor,0.0391,104.971,4-Apr,0.866,Alternative
3240,83947.0,!!!,Even When The Water's Cold,61.0,0.108,0.7090000000000001,227067.0,0.831,0.00128,D,0.159,-6.847,Minor,0.0391,104.971,4-Apr,0.866,Electronic
29519,61978.0,$uicideBoy$,Muddy Blunts,62.0,0.0524,0.8809999999999999,187454.0,0.633,6.72e-06,C#,0.158,-6.647,Minor,0.0683,121.92200000000001,4-Apr,0.335,Rap
47807,53674.0,$uicideBoy$,2nd Hand,74.0,0.0263,0.931,123481.0,0.422,0.0,G,0.102,-6.837999999999999,Major,0.168,139.974,4-Apr,0.102,Hip-Hop
47931,71791.0,$uicideBoy$,Planting The Roots Only To Fall Out The Tree,54.0,0.12,0.7979999999999999,117159.0,0.701,0.0,G#,0.114,-3.135,Minor,0.208,124.04799999999999,4-Apr,0.6920000000000001,Hip-Hop
26977,29236.0,$uicideBoy$,King Tulip,65.0,0.15,0.585,-1.0,0.579,0.0,A#,0.111,-9.387,Minor,0.447,120.838,4-Apr,0.281,Rap
29528,23449.0,$uicideBoy$,Vincent Van Gogh Ain't Got Shit On Me,55.0,0.141,0.5479999999999999,134583.0,0.6779999999999999,0.0,B,0.273,-7.909,Major,0.336,199.736,3-Apr,0.108,Rap
46071,31017.0,$uicideBoy$,Ugly,54.0,0.00428,0.5329999999999999,155016.0,0.469,0.0133,A,0.326,-8.786,Minor,0.14,185.66400000000002,3-Apr,0.33,Hip-Hop
25361,80702.0,$uicideBoy$,INTROVERSION 2.0,55.0,0.0383,0.693,109348.0,0.737,0.0,C,0.0685,-4.998,Major,0.0373,112.03399999999999,3-Apr,0.0923,Rap
28832,81298.0,$uicideBoy$,2nd Hand,74.0,0.0263,0.931,123481.0,0.422,0.0,G,0.102,-6.837999999999999,Major,0.168,139.974,4-Apr,0.102,Rap
29449,78345.0,$uicideBoy$,Ugly,54.0,0.00428,0.5329999999999999,155016.0,0.469,0.0133,A,0.326,-8.786,Minor,0.14,185.66400000000002,3-Apr,0.33,Rap
47964,24421.0,$uicideBoy$,Elysian Fields,55.0,0.0257,0.912,153652.0,0.7170000000000001,0.0,G#,0.61,-6.8020000000000005,Major,0.187,?,4-Apr,0.509,Hip-Hop
46098,64278.0,$uicideBoy$,INTROVERSION 2.0,55.0,0.0383,0.693,-1.0,0.737,0.0,C,0.0685,-4.998,Major,0.0373,112.03399999999999,3-Apr,0.0923,Hip-Hop
29391,37407.0,$uicideBoy$,Planting The Roots Only To Fall Out The Tree,54.0,0.12,0.7979999999999999,-1.0,0.701,0.0,G#,0.114,-3.135,Minor,0.208,124.04799999999999,4-Apr,0.6920000000000001,Rap
46645,61725.0,$uicideBoy$,Do You Believe In God?,65.0,0.0388,0.794,118073.0,0.534,1e-05,C,0.555,-5.698,Major,0.0509,120.069,4-Apr,0.0487,Hip-Hop
29386,26984.0,$uicideBoy$,Long Gone (Save Me From This Hell),60.0,0.129,0.71,138765.0,0.632,2.92e-06,A,0.212,-7.051,Minor,0.0822,?,4-Apr,0.218,Rap
47539,20295.0,$uicideBoy$,Vincent Van Gogh Ain't Got Shit On Me,55.0,0.141,0.5479999999999999,134583.0,0.6779999999999999,0.0,B,0.273,-7.909,Major,0.336,199.736,3-Apr,0.108,Hip-Hop
27564,25741.0,$uicideBoy$,O' Lord! I Have My Doubts,60.0,0.315,0.711,139703.0,0.54,0.0,B,0.103,-6.214,Minor,0.0941,110.037,4-Apr,0.0824,Rap
45416,85493.0,$uicideBoy$,Paris,76.0,0.0725,0.8490000000000001,-1.0,0.648,0.00592,G,0.0984,-6.188,Major,0.0832,?,4-Apr,0.196,Hip-Hop
48835,21963.0,$uicideBoy$,O' Lord! I Have My Doubts,60.0,0.315,0.711,139703.0,0.54,0.0,B,0.103,-6.214,Minor,0.0941,110.037,4-Apr,0.0824,Hip-Hop
49244,70967.0,$uicideBoy$,For The Last Time,67.0,0.0906,0.848,156081.0,0.507,2.4e-06,C#,0.0945,-9.687,Major,0.542,140.056,4-Apr,0.2269999999999999,Hip-Hop
28093,43268.0,$uicideBoy$,WAR TIME ALL THE TIME,60.0,0.00752,0.728,145582.0,0.662,0.0,G,0.441,-8.341000000000001,Major,0.0721,134.90200000000002,4-Apr,0.146,Rap
48531,42055.0,$uicideBoy$,Magazine,67.0,0.2289999999999999,0.883,131500.0,0.897,0.0011,F,0.11,-1.02,Minor,0.108,119.999,4-Apr,0.258,Hip-Hop
49806,74687.0,$uicideBoy$,King Tulip,65.0,0.15,0.585,185218.0,0.579,0.0,A#,0.111,-9.387,Minor,0.447,120.838,4-Apr,0.281,Hip-Hop
46931,25114.0,$uicideBoy$,Eclipse,62.0,0.2789999999999999,0.77,127922.0,0.603,0.0,G#,0.124,-7.354,Major,0.0815,104.96700000000001,4-Apr,0.135,Hip-Hop
25962,22449.0,$uicideBoy$,Eclipse,62.0,0.2789999999999999,0.77,127922.0,0.603,0.0,G#,0.124,-7.354,Major,0.0815,104.96700000000001,4-Apr,0.135,Rap
49674,33096.0,$uicideBoy$,Muddy Blunts,62.0,0.0524,0.8809999999999999,187454.0,0.633,6.72e-06,C#,0.158,-6.647,Minor,0.0683,121.92200000000001,4-Apr,0.335,Hip-Hop
26834,55684.0,$uicideBoy$,Do You Believe In God?,65.0,0.0388,0.794,118073.0,0.534,1e-05,C,0.555,-5.698,Major,0.0509,120.069,4-Apr,0.0487,Rap
46873,58983.0,$uicideBoy$,WAR TIME ALL THE TIME,60.0,0.00752,0.728,-1.0,0.662,0.0,G,0.441,-8.341000000000001,Major,0.0721,134.90200000000002,4-Apr,0.146,Hip-Hop
45843,52705.0,$uicideBoy$,Long Gone (Save Me From This Hell),60.0,0.129,0.71,138765.0,0.632,2.92e-06,A,0.212,-7.051,Minor,0.0822,140.026,4-Apr,0.218,Hip-Hop
27774,56252.0,$uicideBoy$,Paris,76.0,0.0725,0.8490000000000001,-1.0,0.648,0.00592,G,0.0984,-6.188,Major,0.0832,106.075,4-Apr,0.196,Rap
28246,91079.0,$uicideBoy$,Elysian Fields,55.0,0.0257,0.912,-1.0,0.7170000000000001,0.0,G#,0.61,-6.8020000000000005,Major,0.187,99.943,4-Apr,0.509,Rap
25615,87490.0,$uicideBoy$,Magazine,67.0,0.2289999999999999,0.883,131500.0,0.897,0.0011,F,0.11,-1.02,Minor,0.108,119.999,4-Apr,0.258,Rap
27350,68430.0,$uicideBoy$,For The Last Time,67.0,0.0906,0.848,156081.0,0.507,2.4e-06,C#,0.0945,-9.687,Major,0.542,140.056,4-Apr,0.2269999999999999,Rap
25961,50564.0,03 Greedo,Rude,55.0,0.0124,0.585,154105.0,0.65,0.0,G#,0.1119999999999999,-6.316,Minor,0.0657,189.923,4-Apr,0.733,Rap
46656,87209.0,03 Greedo,Rude,55.0,0.0124,0.585,154105.0,0.65,0.0,G#,0.1119999999999999,-6.316,Minor,0.0657,189.923,4-Apr,0.733,Hip-Hop
36560,80600.0,10 Years,Wasteland,65.0,0.000426,0.391,229867.0,0.8009999999999999,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.72899999999998,4-Apr,0.341,Rock
27071,89658.0,10 Years,Fix Me,58.0,0.0012,0.4479999999999999,215840.0,0.84,0.0,C#,0.0883,-3.938,Minor,0.0361,157.985,4-Apr,0.235,Rap
15802,28670.0,10 Years,Novacaine,53.0,0.000106,0.444,-1.0,0.865,1.55e-05,B,0.0366,-2.4330000000000003,Major,0.0464,188.03599999999997,4-Apr,0.74,Alternative
27778,32050.0,10 Years,Wasteland,65.0,0.000426,0.391,229867.0,0.8009999999999999,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.72899999999998,4-Apr,0.341,Rap
18793,42117.0,10 Years,Fix Me,55.0,0.0012,0.4479999999999999,215840.0,0.84,0.0,C#,0.0883,-3.938,Minor,0.0361,157.985,4-Apr,0.235,Alternative
25963,75535.0,10 Years,Novacaine,58.0,0.000106,0.444,-1.0,0.865,1.55e-05,B,0.0366,-2.4330000000000003,Major,0.0464,?,4-Apr,0.74,Rap
28563,86062.0,112,Dance with Me,60.0,0.0259,0.912,231800.0,0.511,0.0,A,0.0442,-6.365,Major,0.203,101.62799999999999,4-Apr,0.611,Rap
29038,85906.0,112,Peaches & Cream (feat. P. Diddy),56.0,0.00887,0.706,-1.0,0.537,0.0,G,0.129,-6.347,Major,0.348,203.74599999999998,4-Apr,0.775,Rap
47815,56499.0,112,Peaches & Cream (feat. P. Diddy),56.0,0.00887,0.706,225947.0,0.537,0.0,G,0.129,-6.347,Major,0.348,203.74599999999998,4-Apr,0.775,Hip-Hop
45904,33245.0,112,Dance with Me,60.0,0.0259,0.912,231800.0,0.511,0.0,A,0.0442,-6.365,Major,0.203,101.62799999999999,4-Apr,0.611,Hip-Hop
25463,53653.0,2 Chainz,NCAA,70.0,0.178,0.8390000000000001,248013.0,0.6409999999999999,0.0,D#,0.135,-5.837000000000001,Minor,0.284,120.037,4-Apr,0.462,Rap
28033,34226.0,2 Chainz,Riverdale Rd,54.0,0.0179,0.866,204093.0,0.652,0.0,B,0.728,-4.213,Major,0.239,125.101,4-Apr,0.222,Rap
49823,73762.0,2 Chainz,Hot Wings,60.0,0.157,0.902,195587.0,0.6459999999999999,1.02e-05,A,0.088,-5.218,Major,0.345,139.989,4-Apr,0.416,Hip-Hop
25744,28524.0,2 Chainz,"I'm Not Crazy, Life Is (feat. Chance The Rapper, Kodak Black)",68.0,0.148,0.637,330000.0,0.639,0.0,C,0.115,-5.834,Major,0.179,75.48899999999999,4-Apr,0.345,Rap
46977,31621.0,2 Chainz,Whip (feat. Travis Scott),80.0,0.12,0.7929999999999999,226600.0,0.3989999999999999,0.0,G,0.124,-7.428,Major,0.0951,121.949,4-Apr,0.0379,Hip-Hop
49486,32544.0,2 Chainz,It's A Vibe,77.0,0.0317,0.8220000000000001,210200.0,0.505,0.0009109999999999,G,0.114,-7.383999999999999,Major,0.147,73.003,4-Apr,0.523,Hip-Hop
45126,66869.0,2 Chainz,"I'm Not Crazy, Life Is (feat. Chance The Rapper, Kodak Black)",68.0,0.148,0.637,330000.0,0.639,0.0,C,0.115,-5.834,Major,0.179,75.48899999999999,4-Apr,0.345,Hip-Hop
49647,59836.0,2 Chainz,Trap Check,51.0,0.139,0.8,186253.0,0.672,0.0,C#,0.303,-4.939,Major,0.165,145.985,4-Apr,0.324,Hip-Hop
47361,69057.0,2 Chainz,NCAA,70.0,0.178,0.8390000000000001,248013.0,0.6409999999999999,0.0,D#,0.135,-5.837000000000001,Minor,0.284,120.037,4-Apr,0.462,Hip-Hop
47231,39044.0,2 Chainz,OG Kush Diet,54.0,0.163,0.913,250947.0,0.632,2.62e-06,C,0.208,-5.07,Major,0.385,?,4-Apr,0.344,Hip-Hop
26591,88989.0,2 Chainz,Whip (feat. Travis Scott),80.0,0.12,0.7929999999999999,226600.0,0.3989999999999999,0.0,G,0.124,-7.428,Major,0.0951,121.949,4-Apr,0.0379,Rap
45990,86038.0,2 Chainz,Riverdale Rd,54.0,0.0179,0.866,204093.0,0.652,0.0,B,0.728,-4.213,Major,0.239,125.101,4-Apr,0.222,Hip-Hop
48235,52165.0,2 Chainz,Money In The Way,71.0,0.238,0.79,161653.0,0.7929999999999999,2.14e-06,G,0.305,-4.138,Major,0.2,85.006,4-Apr,0.584,Hip-Hop
48065,79370.0,2 Chainz,Forgiven (feat. Marsha Ambrosius),70.0,0.155,0.491,323307.0,0.523,0.0,G,0.405,-9.417,Major,0.5920000000000001,73.79,4-Apr,0.243,Hip-Hop
27128,55774.0,2 Chainz,Trap Check,51.0,0.139,0.8,186253.0,0.672,0.0,C#,0.303,-4.939,Major,0.165,145.985,4-Apr,0.324,Rap
25175,79191.0,2 Chainz,It's A Vibe,77.0,0.0317,0.8220000000000001,210200.0,0.505,0.0009109999999999,G,0.114,-7.383999999999999,Major,0.147,73.003,4-Apr,0.523,Rap
26348,76748.0,2 Chainz,Money In The Way,71.0,0.238,0.79,161653.0,0.7929999999999999,2.14e-06,G,0.305,-4.138,Major,0.2,85.006,4-Apr,0.584,Rap
25152,70278.0,2 Chainz,Forgiven (feat. Marsha Ambrosius),70.0,0.155,0.491,323307.0,0.523,0.0,G,0.405,-9.417,Major,0.5920000000000001,73.79,4-Apr,0.243,Rap
29002,64715.0,2 Chainz,Good Drank,67.0,0.2739999999999999,0.836,222707.0,0.7759999999999999,0.0,E,0.113,-0.804,Minor,0.239,130.033,4-Apr,0.37,Rap
29142,39599.0,2 Chainz,Hot Wings,60.0,0.157,0.902,195587.0,0.6459999999999999,1.02e-05,A,0.088,-5.218,Major,0.345,139.989,4-Apr,0.416,Rap
25178,40171.0,2 Chainz,OG Kush Diet,54.0,0.163,0.913,250947.0,0.632,2.62e-06,C,0.208,-5.07,Major,0.385,139.892,4-Apr,0.344,Rap
45478,48877.0,2 Chainz,Good Drank,67.0,0.2739999999999999,0.836,222707.0,0.7759999999999999,0.0,E,0.113,-0.804,Minor,0.239,?,4-Apr,0.37,Hip-Hop
26866,32862.0,2 LIVE CREW,Me So Horny,53.0,0.00472,0.941,276467.0,0.727,0.000811,C,0.177,-11.592,Major,0.228,128.746,4-Apr,0.623,Rap
49085,29182.0,2 LIVE CREW,Me So Horny,53.0,0.00472,0.941,276467.0,0.727,0.000811,C,0.177,-11.592,Major,0.228,128.746,4-Apr,0.623,Hip-Hop
48323,25775.0,21 Savage,Bad Business,60.0,0.000985,0.856,162253.0,0.54,1.55e-05,F#,0.0854,-9.729,Minor,0.373,?,4-Apr,0.387,Hip-Hop
49359,89866.0,21 Savage,Disrespectful,64.0,0.354,0.799,160320.0,0.381,3.12e-06,C#,0.135,-7.147,Major,0.4639999999999999,158.02100000000002,4-Apr,0.0488,Hip-Hop
49628,88468.0,21 Savage,Mad High,54.0,0.0189,0.772,180707.0,0.737,9.39e-05,A#,0.206,-7.648,Minor,0.2,?,4-Apr,0.5329999999999999,Hip-Hop
25676,57858.0,21 Savage,out for the night - part 2,72.0,0.0133,0.593,235232.0,0.632,0.0,F#,0.64,-5.381,Minor,0.541,173.36900000000003,4-Apr,0.0789,Rap
49247,30017.0,21 Savage,Numb,70.0,0.0438,0.8390000000000001,271307.0,0.437,2.75e-06,F,0.131,-11.344,Minor,0.285,82.008,4-Apr,0.4639999999999999,Hip-Hop
28337,27477.0,21 Savage,asmr,75.0,0.0399,0.84,171714.0,0.5429999999999999,0.0,C#,0.1169999999999999,-7.737999999999999,Major,0.476,170.067,4-Apr,0.161,Rap
29966,38593.0,21 Savage,Numb,70.0,0.0438,0.8390000000000001,271307.0,0.437,2.75e-06,F,0.131,-11.344,Minor,0.285,82.008,4-Apr,0.4639999999999999,Rap
29010,47311.0,21 Savage,Bad Business,60.0,0.000985,0.856,162253.0,0.54,1.55e-05,F#,0.0854,-9.729,Minor,0.373,158.05,4-Apr,0.387,Rap
